,CCC Course,CCC Description,UCSC Course Code,UCSC Course Title,UCSC Description
22,ART 2A Drawing and Composition I,"Teaches the fundamentals of composition and the development of drawing skills with various drawing media. Develops appreciation and perception by means of studio work, library references, slides, field trips, and lectures. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ART 15,Introduction to Drawing for the Major,"Introduction to the methods, materials, and purposes of drawing to develop perceptual and conceptual skills through a series of assignments, providing various approaches to drawing as a tool for creative exploration. Discussions and critiques facilitate the development of critical skills. Designed for students considering the art major."
23,ART 2B Drawing and Composition II,"Refines and expands technical drawing skills from Drawing and Composition I with an emphasis on personal expression, thematic development, and an introduction to the use of color. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ART 15,Introduction to Drawing for the Major,"Introduction to the methods, materials, and purposes of drawing to develop perceptual and conceptual skills through a series of assignments, providing various approaches to drawing as a tool for creative exploration. Discussions and critiques facilitate the development of critical skills. Designed for students considering the art major."
24,ART 33A Screen Printing/Serigraphy I,"Introduces the art and techniques of screen printing/serigraphy including stenciling, printing, care of prints, papers and proper studio use. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ART 20G,Introduction to Print Media and Drawing,"Introduces the methods, materials, and history of printmaking and drawing as a tool for creative exploration. Understanding and development of concepts and skills are achieved through a series of lectures, studio demonstrations and practice, assignments, and critiques."
25,ART 32B Intermediate Intaglio Prints,Expands the use of intaglio printmaking techniques taught in Printmaking: Etching and Intaglio for the creation of original fine art prints. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:,ART 20G,Introduction to Print Media and Drawing,"Introduces the methods, materials, and history of printmaking and drawing as a tool for creative exploration. Understanding and development of concepts and skills are achieved through a series of lectures, studio demonstrations and practice, assignments, and critiques."
26,ART 33B Screen Printing/Serigraphy II,"Continues screen printing/serigraphy techniques including advanced stenciling, registration methods, print care and curating, papers and proper studio use. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ART 20G,Introduction to Print Media and Drawing,"Introduces the methods, materials, and history of printmaking and drawing as a tool for creative exploration. Understanding and development of concepts and skills are achieved through a series of lectures, studio demonstrations and practice, assignments, and critiques."
27,ART 32A Printmaking: Etching and Intaglio,"Teaches intaglio printmaking techniques in etching, drypoint, and monoprint. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ART 20G,Introduction to Print Media and Drawing,"Introduces the methods, materials, and history of printmaking and drawing as a tool for creative exploration. Understanding and development of concepts and skills are achieved through a series of lectures, studio demonstrations and practice, assignments, and critiques."
28,ART 4 Beginning Design: Design and Color,"Introduces the concepts, applications, and historical references related to two-dimensional art and composition, including the study of the principles of composition and elements of art: line, shape, texture, value, color, and spatial illusion. Develops a visual vocabulary for creative expression through lecture presentations, studio projects, problem-solving, and written assignments. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ART 10D,2D Foundation,"Introduces students to the fundamental principles of two-dimensional art and design. This is a large lecture-based course with smaller art studio-based sections (60% lecture/40% studio). Lectures, discussions and studio sections explore fundamental 2D drawing concepts of line, color shape, value, space, form, unity, balance, scale, proportion and texture. Through lectures, discussion and studio projects students learn to create and understand complex concepts in two dimensions."
29,ART 5 Beginning Design: 3-Dimensional Form,"Teaches design elements and principles used in three-dimensional artwork and sculpture. Includes projects in various media: paper, plaster, wood, and metal. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ART 10E,3D Foundation,"Introduces students to the fundamental principles of three-dimensional art and design. This is a large lecture-based course with smaller art studio-based sections (60% lecture/40% studio). Lecture, discussion, and studio sections explore fundamental 3D concepts, techniques, and technical practices in sculpture, public art, architecture, process, and design. Through lectures, discussion, and studio projects students learn to create and understand complex concepts in 3D."
30,ART 34C Sculpture: Direct Process III,"Continues the study of sculptural processes from Sculpture: Direct Processes II with an increased awareness of materials, which can be transformed through direct approach. Emphasizes the application of concept and presentation. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ART 20H,Introduction to Sculpture and Public Art,"Introduces sculpture and art in public space. The course is composed of lectures, readings, discussions, studio assignments, and demonstrations."
31,ART 34A Sculpture: Direct Processes I,Introduces beginning-level materials and processes in sculpture. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:,ART 20H,Introduction to Sculpture and Public Art,"Introduces sculpture and art in public space. The course is composed of lectures, readings, discussions, studio assignments, and demonstrations."
