,VCCS Course,VCCS Description,W&M Course Code,W&M Course Title,W&M Description
0,"ACC 211 PRINCIPLES OF ACCOUNTING I TAKEN WITH
ACC 212 PRINCIPLES OF ACCOUNTING II","Introduces accounting principles with respect to financial reporting. Demonstrates how decision makers use accounting information for reporting purposes. Focuses on the preparation of accounting information and its use in the operation of organizations, as well as methods of analysis and interpretation of accounting information.",BUAD 203,Principles of Accounting,"A study of the use and preparation of financial information and the accounting system as an interpretative tool to communicate information about a variety of economic events to both internal and external users. Topics covered include the preparation and interpretation of financial statements for external users as well as managerial uses of accounting data, cost analysis, budgeting and performance evaluation. (Required for admission to Business Majors Program.)"
1,ADJ 100 SURVEY OF CRIMINAL JUSTICE,"Presents an overview of the United States criminal justice system; introduces the major system components--law enforcement, judiciary, and corrections.",,,
2,ADJ 105 THE JUVENILE JUSTICE SYSTEM,"Presents the evolution, philosophy, structures and processes of the American juvenile delinquency system; surveys the right of juveniles, dispositional alternatives, rehabilitation methods and current trends.",,,
3,ADJ 106 CRIME AND JUSTICE IN AMERICA,Description not found,,,
4,ADJ 107 SURVEY OF CRIMINOLOGY,Surveys the volume and scope of crime; considers a variety of theories developed to explain the causation of crime and criminality.,,,
5,ADJ 133 ETHICS AND CRIMINAL JUSTICE PROFESSIONAL,"Examines ethical dilemmas pertaining to the criminal justice system, including those in policing, courts and corrections. Focuses on some of the specific ethical choices that must be made by the criminal justice professional.",,,
6,ADJ 145 CORRECTIONS AND THE COMMUNITY,Studies and evaluates the relationships and interactions between correctional organizations and free society. Focuses on the shared responsibility of the community and corrections agencies to develop effective programs for management and treatment of criminal offenders.,,,
7,ADJ 201 CRIMINOLOGY,Studies current and historical data pertaining to criminal and other deviant behavior. Examines theories that explain crime and criminal behavior in human society.,SOCL 302,Criminology,CSI NQR This course examines justice and civility in law and law enforcement. Two interrelated parts are explored: (1) the creation and administration of criminal law; and (2) the development of patterns of behavior that violate criminal laws.
8,ADJ 205 CAUSES OF CRIME AND DELINQUENCY,Description not found,,,
9,ADJ 216 ORGANIZED CRIME AND CORRUPTION,"Addresses judicial efforts against and involvement in corruption, drug, vice, and white-collar crimes, both individual and organized.",,,
10,ADJ 229 LAW ENFORCEMENT AND THE COMMUNITY,Examines the process through which community problems are identified and addressed by police departments in cooperation with the community. Considers current efforts by law enforcement officers to achieve an effective working relationship with the community.,,,
11,ADJ 234 TERRORISM AND COUNTER-TERRORISM,"Surveys the historical and current practices of terrorism that are national, transnational, or domestic in origin. Includes biological, chemical, nuclear, and cyber-terrorism. Teaches the identification and classification of terrorist organizations, violent political groups and issue-oriented militant movements. Examines investigative methods and procedures utilized in counter terrorist efforts domestically and internationally.",,,
12,ADJ 235 RESEARCH IN CRIMINAL JUSTICE,Description not found,,,
13,ADJ 243 HOMELAND SECURITY AND LAW,"Covers relationships abroad, the mission of federal, state, and local government at home, and the best way to provide for the common defense. Examines homeland security and emergency management, the Federal Emergency Management Agency's place in public policy, law, and management, homeland security initiatives, and new partnerships for homeland security covering the government, private sector and higher education. Discusses civil rights issues, the USA Patriot Act; future challenges and roles of intelligence agencies; foreign policy aspects and views.",,,
14,ADJ 247 CRIMINAL BEHAVIOR,Introduces and evaluates the concepts of normal and abnormal behavior. Focuses on the psychological and sociological aspects of criminal and other deviant behavior patterns.,,,
15,ARA 101 BEGINNING ARABIC I,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part I of II. This is a UCGS transfer course.",,,
16,ARA 102 BEGINNING ARABIC II,"Introduces cultural awareness, listening, speaking, reading, and writing skills and emphasizes basic sentence structure. Part II of II. This is a UCGS transfer course.",,,
17,ARA 201 INTERMEDIATE ARABIC I,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and introduces complex sentence structures. Classes may be conducted in target language. Part I of II. This is a UCGS transfer course.",,,
18,ARA 202 INTERMEDIATE ARABIC II,"Continues to develop cultural awareness, listening, speaking, reading, and writing skills, and emphasizes complex sentence structures. Classes may be conducted in the target language. Part II of II. This is a UCGS transfer course.",,,
19,ARC 100 INTRODUCTION TO ARCHITECTURE,Outlines history and impact of architecture. Emphasizes dynamics and social aspects of architecture and society; focuses on 19th and 20th century architectural forms.,,,
20,ARC 123 ARCHITECTURAL GRAPHICS I,"Introduces techniques of architectural communication including orthographic projection and sketching as well as 3d views and modeling.  Requires the manual production of plans, sections, elevations and 3d views and models of a simple building.  Includes dimensioning, detailing and rendering.  Part I of II.  Credit will not be awarded for bothARC 121andARC 123.",,,
21,ARC 201 HISTORY OF MODERN ARCHITECTURE,"Surveys architecture from 19th century to present, with emphasis on philosophy of design, form and structure.",ARTH 272,Modern Architecture and Urbanism,"ALV Additional CSI An introduction to key themes in the architecture and urbanism of the past two centuries. Influential buildings and cities analyzed in relation to their intellectual, technological, and socio-political contexts. Emphasis placed on Enlightenment ideals, industrialism, utopian thought, modernism and avant-garde discourses, colonialism, nationalism, regionalism, and internationalism. Formerly: ARTH 372"
22,ARC 221 ARCHITECTURAL CAD APPLICATIONS SOFTWARE I,Teaches the principles and techniques of architectural drawing practices through the use of architecture specific CAD software. Utilizes the commands and features of the software to generate drawings that emphasize architectural design and structural systems. Use local prerequisites.,,,
23,ARC 231 ADVANCED ARCHITECTURAL DESIGN & GRAPHICS I,Provides fundamental knowledge of the principles and techniques of architectural drawing procedures. Familiarizes student with design process. Provides a better understanding of the relation between architectural design and structural systems.,,,
24,ARC 232 ADVANCED ARCHITECTURAL DESIGN & GRAPHICS II,Requires development of complete set of working drawings and details according to principles and techniques of architectural drawings and procedures used in professional firms.,,,
25,ARC 240 DESIGNING SUSTAINABLE BUILT ENVIRONMENTS,"Introduces students to ethics, ideas, technologies, methods and current practices in designing sustainable environments.",,,
26,ART 100 ART APPRECIATION,"Introduces art from prehistoric times to the present day.  Describes architectural styles, sculpture, photography, printmaking, and painting techniques. Highlights major artists and key contributions from global and Western culture.  Covers content chronologically and/or thematically. This is a Passport and UCGS transfer course.",,,
27,ART 101 HISTORY/APPRECIATION ART I,"Surveys the history and interpretation of architecture, painting and sculpture from the prehistoric era through the Gothic. This is a Passport and UCGS transfer course.",ARTH 251,Pre-Modern European Art,"ALV Additional CSI This course surveys major artistic traditions, while introducing students to the main intellectual, social, and historical concepts developed in Europe and the Mediterranean world between ca. 300-1500."
28,ART 102 HISTORY/APPRECIATION OF ART II,"Surveys the history and interpretation of architecture, painting and sculpture from the Renaissance through the modern era. This is a Passport and UCGS transfer course.",ARTH 252,Early Modern European Art,"ALV Additional CSI This course provides an overview of Early Modern European Art from around 1400-1850, considering the changing attitudes towards art making and viewing within wider cultural, social, and political contexts."
29,ART 103 HISTORY OF FAR EASTERN ART I,"Surveys the history of Far Eastern art from the prehistoric period to the present. Part I focuses on the art of India and Southeast Asia. Part II focuses on the art of China, Japan, and Korea. Emphasizes architecture, painting and sculpture with some instruction in printmaking and decorative arts.  Part I of II.",,,
30,ART 104 HISTORY OF FAR EASTERN ART II,Description not found,,,
31,ART 106 HISTORY OF MODERN ART,Description not found,,,
32,ART 109 HISTORY OF WOMEN ARTISTS,"Surveys the work of women artists through history, with emphasis on the role of women artists.",,,
33,ART 111 INTRODUCTION TO THE ARTS I,Description not found,,,
34,ART 112 INTRODUCTION TO THE ARTS II,Description not found,,,
35,ART 114 GENERAL ART,"Introduces art to the student without previous training. Provides studio exercises in drawing, painting, and two- and three-dimensional design.",,,
36,ART 120 BEGINNING DRAWING,Introduces principles and practices of the various media used in drawing.,,,
37,ART 121 DRAWING I,"Develops basic drawing skills and understanding of visual language through studio instruction/lecture. Introduces concepts such as line, proportion, space, perspective, value and composition as applied to still life, landscape and figure. Uses drawing media such as pencil, charcoal and ink wash. Includes field trips and gallery assignments as appropriate. This is a UCGS transfer course.",,,
38,ART 122 DRAWING II,Description not found,,,
39,ART 125 INTRODUCTION TO PAINTING,"Introduces study of color, composition and painting techniques. Places emphasis on experimentation and enjoyment of oil and/or acrylic paints and the fundamentals of tools and materials.",,,
40,ART 131 TWO-DIMENSIONAL DESIGN,"Introduces the elements and principles of design as applied to two-dimensional studio projects. Introduces two-dimensional media, techniques, compositional strategies, and color concepts and interactions. Supports conceptual development through introduction to historical and contemporary practices and critical analysis. May include field trips as required. This is a UCGS transfer course.",,,
41,ART 132 THREE-DIMENSIONAL DESIGN,"Introduces the elements and principles of design as applied to three-dimensional studio projects. Introduces three-dimensional media, techniques, compositional strategies, and color concepts and interactions. Supports conceptual development through introduction to historical and contemporary practices and critical analysis. May include field trips as required. This is a UCGS transfer course.",,,
42,ART 134 THREE DIMENSIONAL DESIGN,Explores the concepts of three dimensional design applicable to all fields of Visual Art. Covers tools and techniques. Uses computers as appropriate for research.,,,
43,ART 135 VISUAL COMMUNICATIONS,Studies intermediate design concepts applicable to all fields of communication arts.,,,
44,ART 153 CERAMICS I,Presents problems in the design and production of functional and non-functional ceramic works. Includes handbuilding the potter's wheel and clays and glazes.  Part I of II.,,,
45,ART 154 CERAMICS II,Presents problems in the design and production of functional and non-functional ceramic works. Includes handbuilding the potter's wheel and clays and glazes.  Part II of II.,,,
46,ART 184 SURVEY OF MUSEUM PRACTICE,"Explores the role of the museum in society and traces the foundations upon which these public, cultural and educational institutions are built. Emphasizes the management and interpretation of historic properties and collections. This course is cross-listed withHIS 183. Credit will not be awarded for both.",ANTH 350,Special Topics in Anthropology,Areas of current research interest presented by resident and visiting faculty. Course may be repeated for credit when topics vary.
47,ART 200 SURVEY OF NON-WESTERN ART,"Explores art as an integral aspect of cultures from Africa, Asia, Islamic groups, Oceania, Native America, and pre-Columbian Central and South America. Increases understanding of the formal and iconographic properties of these works by examining the philosophies, social customs, and ritual practices of their cultures. The assignments in the course require the reading of scholarly articles and researched-based writing.",,,
48,ART 201 HISTORY OF ART I,Description not found,ARTH 251,Pre-Modern European Art,"ALV Additional CSI This course surveys major artistic traditions, while introducing students to the main intellectual, social, and historical concepts developed in Europe and the Mediterranean world between ca. 300-1500."
49,ART 202 HISTORY OF ART II,Description not found,ARTH 252,Early Modern European Art,"ALV Additional CSI This course provides an overview of Early Modern European Art from around 1400-1850, considering the changing attitudes towards art making and viewing within wider cultural, social, and political contexts."
50,ART 211 HISTORY OF AMERICAN ART I,Description not found,,,
51,ART 212 HISTORY OF AMERICAN ART II,Description not found,,,
52,ART 221 DRAWING III,"Introduces advanced concepts and techniques of drawing as applied to the figure, still life and landscape. Gives additional instruction in composition, modeling, space and perspective. Encourages individual approaches to drawing.  Part I of II.",,,
53,ART 222 DRAWING IV,"Introduces advanced concepts and techniques of drawing as applied to the figure, still life and landscape. Gives additional instruction in composition, modeling, space and perspective. Encourages individual approaches to drawing.  Part II of II.",,,
54,ART 231 SCULPTURE I,"Introduces sculptural concepts and methods of production in traditional and contemporary media. Includes clay, plaster, wood, stone, metal, plastics and terra cotta. May include field trips. Part I of II.",,,
55,ART 232 SCULPTURE II,"Introduces sculptural concepts and methods of production in traditional and contemporary media. Includes clay, plaster, wood, stone, metal, plastics and terra cotta. May include field trips. Part II of II.",,,
56,ART 235 FUNCTIONAL CERAMICS,"Explores the design and production of functional ceramics, including handbuilding and use of the wheel.",,,
57,ART 236 SCULPTURAL CERAMICS,"Explores the design and production of sculptural ceramics, including handbuilding and use of the wheel.",,,
58,ART 237 CERAMIC DECORATION,Description not found,,,
59,ART 242 PAINTING II,"Introduces abstract and representational painting in acrylic and/or oil with emphasis on color, composition, and value. Part II of II.",,,
60,ART 243 WATERCOLOR I,"Presents abstract and representational painting in watercolor with emphasis on design, color, composition, technique and value. Part I of II.",,,
61,ART 244 WATERCOLOR II,"Presents abstract and representational painting in watercolor with emphasis on design, color, composition, technique and value. Part II of II.",,,
62,ART 245 PORTRAIT PAINTING,Explores portrait painting as representational and abstract art. Emphasizes analytical study of the head using a variety of mediums.,,,
63,ART 246 FIGURE PAINTING,Concentrates on the human figure as subject matter for painting. Emphasizes composition as it relates to figure study. Explores formal and informal approaches to include representation and abstraction using various painting media.,,,
64,ART 259 LANDSCAPE PAINTING,Provides a comprehensive study of the techniques and approaches to the subject of landscape painting from the historic and current perspective.,,,
65,ART 271 PRINTMAKING I,"Introduces the student to the full range of printmaking techniques. Includes woodcut, silkscreen, etching, and lithography. Provides historical perspective on printmaking.  Part I of II.",,,
66,ART 272 PRINTMAKING II,"Introduces the student to the full range of printmaking techniques. Includes woodcut, silkscreen, etching, and lithography. Provides historical perspective on printmaking.  Part II of II.",,,
67,ART 275 RELIEF MAKING,Description not found,,,
68,ART 277 ADVANCED PRINTMAKING,Provides additional opportunity for individual exploration in selected printmaking processes.,,,
69,ASL 101 AMERICAN SIGN LANGUAGE I,"Introduces cultural awareness, comprehension and production skills, and emphasizes basic sentence structure in American Sign Language with a focus on interactive communicative competence. Part I of II. This is a UCGS transfer course.",,,
70,ASL 102 AMERICAN SIGN LANGUAGE II,"Introduces cultural awareness, comprehension and production skills, and emphasizes basic sentence structure in American Sign Language with a focus on interactive communicative competence. Part II of II. This is a UCGS transfer course.",,,
71,ASL 201 AMERICAN SIGN LANGUAGE III,"Continues to develop cultural awareness, comprehension and production skills, and emphasizes a variety of sentence structures in American Sign Language with a continued focus on interactive communicative competence. Part I of II. This is a UCGS transfer course.",,,
72,ASL 202 AMERICAN SIGN LANGUAGE IV,"Continues to develop cultural awareness, comprehension and production skills, and emphasizes a variety of sentence structures in American Sign Language with a continued focus on interactive communicative competence. Part II of II. This is a UCGS transfer course.",,,
73,ASL 220 COMPARATIVE LINGUISTICS: ASL & ENGLISH,"Describes ASL (American Sign Language) and spoken English on five levels: phonological, morphological, lexical, syntactic, and discourse. Compares and contrasts the two languages on all five levels using real-world examples. Documents similarities between signed languages and spoken languages in general. Describes the major linguistic components and processes of ASL and English. Introduces basic theories regarding ASL structure. Emphasizes the status of ASL and English as natural languages by comparing and contrasting similarities and unique differences between the two languages.",LING 230,Topics in Linguistics,"An exploration of an introductory topic in linguistics. If there is no duplication of topic, may be repeated for credit."
74,BCS 110 FUNDAMENTALS IN VIDEO PRODUCTION,Description not found,,,
75,BIO 100 BASIC HUMAN BIOLOGY,"Presents basic principles of human anatomy and physiology. Discusses cells, tissues, and selected human systems.",,,
76,BIO 101 GENERAL BIOLOGY I,"Focuses on biological processes with a chemical foundation, including macromolecules, cellular structure, metabolism, and genetics in an evolutionary context. Explores the core concepts of evolution; structure and function; information flow, storage and exchange; pathways and transformations of energy and matter; and systems biology. Emphasizes the process of science, interdisciplinary approach, and relevance of biology to society. Part I of a two-course sequence. Assignments require college-level reading fluency, coherent written communication, and basic mathematical skills. This is a Passport and UCGS transfer course. Credit toward graduation cannot be awarded for bothBIO 101andBIO 106.",BIOL 203,"Introduction to Molecules, Cells, Development","Corequisite(s): BIOL 203L and BIOL 203D NQR Lectures explore the molecular and cellular characteristics of living organisms including cell structure, biochemistry, metabolism, molecular genetics, and cellular processes in development. Recommended for science majors. Presupposes strong background in high school biology and chemistry. Three class hours. Formerly: (formerly BIOL225 lecture)"
77,BIO 102 GENERAL BIOLOGY II,"Focuses on biological processes with a chemical foundation, including macromolecules, cellular structure, metabolism, and genetics in an evolutionary context. Explores the core concepts of evolution; structure and function; information flow, storage and exchange; pathways and transformations of energy and matter; and systems biology. Emphasizes the process of science, interdisciplinary approach, and relevance of biology to society. Part II of a two-course sequence. This is a UCGS transfer course.",BIOL 204,"Introduction to Organisms, Ecology, Evolution","Corequisite(s): BIOL 204L and BIOL 204D NQR Course is designed for potential biology majors. Lectures explore the diversity of organisms, their interactions with each other and the environment, and the evolutionary processes that produce diversity. Topics include Mendelian genetics, major taxonomic groups, ecology, and evolution. Presupposes strong background in high school biology. Three class hours. Formerly: (formerly BIOL 220 lecture)"
78,BIO 106 LIFE SCIENCE,"Surveys the basic concepts of life science. Engages in the scientific process by developing hypotheses, gathering data, and analyzing results. Explores topics within the context of the societal implications of science. Intended for students not majoring in science.  Assignments require college-level reading fluency, coherent written communication, and basic mathematical skills. This is a Passport and UCGS transfer course. Credit toward graduation cannot be awarded for bothBIO 101andBIO 106.",,,
79,BIO 107 BIOLOGY OF THE ENVIRONMENT,"Presents the basic concepts of environmental science through a topical approach. Includes the scientific method, population growth and migration, use of natural resources and waste management, ecosystem simplification recovery, evolution, biogeochemical cycles, photosynthesis and global warming, geological formations, atmosphere and climate, and ozone depletion and acid deposition.",,,
80,BIO 110 GENERAL BOTANY,"Emphasizes plant life cycles, anatomy, morphology, taxonomy, and evolution. Considers the principles of genetics, ecology, and physiology.",BIOL 304,Integrative Biology: Plants,"Prerequisite(s): BIOL 204 , BIOL 203 An examination of major groups of photosynthetic organisms, with emphasis on terrestrial plants and their interactions with other organisms. Their structure, reproduction, physiology and ecological importance are emphasized in an evolutionary context. Three class hours, three laboratory hours. There is a fee associated with the laboratory."
81,BIO 114 ORGANISMS,Description not found,,,
82,BIO 120 GENERAL ZOOLOGY,"Presents basic biological principles, and emphasizes structure, physiology and evolutionary relationships of invertebrates and vertebrates.",BIOL 302,Integrative Biology: Animals,"Prerequisite(s): BIOL 204 , BIOL 203 The study of the evolution, classification, ecology, behavior, development and functional systems of the major animal phyla. Certain aspects of human biology will also be covered. Three class hours, three laboratory hours. There is a fee associated with the laboratory."
83,BIO 141 HUMAN ANATOMY & PHYSIOLOGY I,"Presents the study of anatomy & physiology including anatomical terminology, homeostasis, histology, integumentary system, skeletal system, muscular system, and nervous system. Part I of II.  Assignments require college-level reading fluency, coherent written communication, and basic mathematical skills.",KINE 303,Human Anatomy,Prerequisite(s): KINE 200 or BIOL 204 or BIOL 203 . College Curriculum: NQR Gross and histological study of the human organism with particular emphasis on the neuro-muscular systems as related to human movement.
84,BIO 142 HUMAN ANATOMY & PHYSIOLOGY II,"Continues study of anatomy and physiology including endocrine system, blood and cardiovascular system, lymphatic system and immunity, respiratory system, urinary system, fluid, electrolyte, and acid-base balance, digestive system and nutrient metabolism, reproductive system, and prenatal development. Part II of II.",KINE 304,Human Physiology,Prerequisite(s): KINE 200 or BIOL 204 or BIOL 203 . NQR Detailed study of the manner in which different organ systems of the human body function.
85,BIO 146 HUMAN HEREDITY,Surveys basic principles of classical and molecular genetics as applied to humans.,,,
86,BIO 150 MICROBIOLOGY FOR LIFE SCIENCES,"Focuses on the general characteristics, cellular structure, and metabolism of microorganisms. Emphasizes microbial relationships with individual and community health. Includes impact of microbes on human health and disease, microbial pathogenicity, identifying and managing infectious diseases and controlling microbial growth, healthcare associated infections and epidemiology. Studies aseptic culturing techniques with hands-on experience in safe microbiology practices.",,,
87,BIO 170 BIOTECHNOLOGY METHODS,"Provides students with laboratory skills needed for employment in the biotechnology industry. Focuses on widely used biotechnology procedures in areas of DNA analysis, protein analysis, tissue culture, monoclonal antibodies quality control assays and diagnostic procedures.",,,
88,BIO 173 BIOLOGY FOR BIOTECHNOLOGY,"Introduces the student to biological concepts essential to the understanding of biotechnology. Focuses on the structural organization, function, and chemical nature of the cell. Studies cellular processes such as membrane transport, information, processing, reproduction and heredity. Emphasizes laboratory methods of biotechnology.",,,
89,BIO 205 GENERAL MICROBIOLOGY,"Explores the structure and function of microorganisms and their relationship to the environment and humans. Emphasizes the various groups of microorganisms, their growth and metabolism, roles in the functioning of ecosystems, genetics, their roles in human health, the use of microbes in industrial applications and biotechnology and methods of microbial control.",BIOL 306,Microbiology,"Prerequisite(s): BIOL 204 , BIOL 203 . Introduction to the biology of prokaryotes and viruses. Classical topics such as growth, metabolism and genetics, ecology, and molecular biology are covered in the lecture section. The laboratory introduces techniques routinely in microbiology such as sterile techniques, staining and microscopy, biochemical assays, microbial ecology, and genetics. Three class hours, three laboratory hours. Formerly: (formerly BIOL 440) There is a fee associated with the laboratory."
90,BIO 206 CELL BIOLOGY,"Introduces the ultrastructure and functions of cells. Emphasizes cell metabolism, cell division, and control of gene expression.",BIOL 310,Molecular Cell Biology,"Prerequisite(s): BIOL 204 , BIOL 203 . Prereq/Corequisite(s): CHEM 206 . An introduction to the principles by which eukaryotic cells function with an emphasis on the molecular biology of cells and experimental approaches to their analysis. Three class hours."
91,BIO 215 PLANT LIFE OF VIRGINIA,"Focuses on identification and ecological relationships of the native plants of Virginia. Emphasizes the natural communities of trees, shrubs, herbaceous plants, ferns, and some invasive species.",BIOL 404,Special Topics in Biology,"Four credit courses have an associated laboratory. Credits count toward major. If there is no duplication of topic, courses with this number may be repeated for credit."
92,BIO 220 IMMUNOLOGY,Provides students with and in-depth understanding of the mammalian immune system. Students begin with a detailed study of the immune system components and move on to an integrated look at the immune response with respect to clinical applications and human health.,BIOL 437,Immunology,"Prerequisite(s): BIOL 204 , BIOL 203 and ( BIOL 310 or BIOL 314 or BIOL 442 ) This course gives an overview of the cells and molecules that compose the immune system and the mechanisms by which they protect the body against foreign invaders, with emphasis on current experimental approaches and systems. Three class hours."
93,BIO 227 ANIMAL LIFE OF VIRGINIA,Description not found,BIOL 404,Special Topics in Biology,"Four credit courses have an associated laboratory. Credits count toward major. If there is no duplication of topic, courses with this number may be repeated for credit."
94,BIO 250 BIOTECHNOLOGY RESEARCH METHODS AND SKILLS,"Provides students with knowledge and advanced laboratory skills needed for employment in the biotechnology industry.  Focuses on use of basic and specialized lab equipment and techniques such as solution chemistry, cell culture, DNA extraction and analysis, and protein extraction and analysis.  Emphasis in on lab safety, documentation, quality control, and use of SOPs.",,,
95,BIO 254 CAPSTONE SEMINAR IN BIOTECHNOLOGY,"Integrates principles, theories, and methods learned in prior courses in biotechnology.  Promotes exposure to real-world experience through completion of group project(s) having a professional focus.  Emphasizes collaboration, literature research, proposal development, and communication and presentation skills.  Prerequisite(s):  completion of core course in program.",BIOL 404,Special Topics in Biology,"Four credit courses have an associated laboratory. Credits count toward major. If there is no duplication of topic, courses with this number may be repeated for credit."
96,BIO 255 BIOINFORMATICS & COMPUTER APPLICATIONS,"Covers basic computer concepts and Internet skills and uses a software suite, which includes word processing, spreadsheet, database, and presentation software to demonstrate skills as they are applied to biotechnology.  Introduces students to basic online tools and resources to retrieve and analyze biological data, such as DNA, RNA, and protein sequences, structures, functions, pathways, and interactions.  Includes hands-on sessions to allow students to become familiar with these resources and their navigation and applications.",BIOL 404,Special Topics in Biology,"Four credit courses have an associated laboratory. Credits count toward major. If there is no duplication of topic, courses with this number may be repeated for credit."
97,BIO 256 GENERAL GENETICS,Explores the principles of genetics ranging from classical Mendelian inheritance to the most recent advances in the biochemical nature and function of the gene. Includes experimental design and statistical analysis.,BIOL 420,Genetic Analysis,"Prerequisite(s): BIOL 204 , BIOL 203 . Discussion of classical and modern genetics. Topics will be drawn from the following: Mendelian inheritance, recombination and linkage, cytogenetics, model genetic systems, mutation analysis, mitochondrial, and chloroplast genetics. Three class hours."
98,BIO 270 GENERAL ECOLOGY,"Studies interrelationships between organisms and their natural and cultural environments with emphasis on populations, communities, and ecosystems.",BIOL 417,Population and Community Ecology,"Prerequisite(s): BIOL 204 and ( BIOL 325 or BIOL 327 or any approved statistics course.) Discussion of the structure and dynamics of ecological populations and biotic communities. Emphasis will be on environmental constraints and species interactions that control population growth and determine both diversity and similarities in community structure and function. Three class hours, three laboratory hours. There is a fee associated with the laboratory."
99,BIO 271 INTRODUCTION TO ECOLOGICAL SYSTEMS,"Examines the basic biological, meteorological and geological/ geographic factors at play in determining various critical ecosystems. Emphasis on wetlands and wetlands reconstruction, endangered and threatened species habitats, and aquatic systems. Remote sensing technology and use of GIS in ecological management will be examined.",BIOL 427,Wetland Ecosystems,"Prerequisite(s): BIOL 204 or consent of instructor An investigation of structure and function of wetland ecosystems, considering their formation and distribution at local, regional and continental scales. Interactions amongst biologic, geologic and hydrologic components in wetland development will be presented in lecture, lab and field exercises. Three class hours, three laboratory hours. There is a fee associated with the laboratory."
100,BIO 275 MARINE ECOLOGY,Description not found,,,
101,BIO 276 FRESHWATER ECOLOGY,Description not found,BIOL 426,Aquatic Ecology,"Prerequisite(s): BIOL 204 or consent of instructor Introduction to the ecology of aquatic systems; discussion of the important physical and chemical characteristics of aquatic environments and the adaptations of organisms living in water; community structure and the important processes affecting it, including major aspects of water pollution. Three class hours, three laboratory hours. There is a fee associated with the laboratory."
102,BIO 278 COASTAL ECOLOGY,"Investigates beach, saltmarsh, and estuarine ecosystems including the effects of chemical, geological, and physical factors upon the distribution of organisms. Discusses the effects of pollution and human manipulation of the coastline. Includes observation and identification of coastal plants and animals, and analysis of the dynamics of coastal community structure and function in a field-based setting.",BIOL 404,Special Topics in Biology,"Four credit courses have an associated laboratory. Credits count toward major. If there is no duplication of topic, courses with this number may be repeated for credit."
103,BIO 285 BIOLOGICAL PROBLEMS IN CONTEMPORARY SOCIETY,"Discusses major biological problems facing society which may include environmental and health concerns such as pollution, bioengineering, drug abuse, conservation, famine and others.",,,
104,BIO 293 STUDIES IN,Covers new content not covered in existing courses in the discipline. Allows instructor to explore content and instructional methods to assess the course's viability as a permanent offering.,BIOL 404,Special Topics in Biology,"Four credit courses have an associated laboratory. Credits count toward major. If there is no duplication of topic, courses with this number may be repeated for credit."
105,BIO 295 TOPICS IN,Provides an opportunity to explore topical areas of interest to or needed by students.,BIOL 404,Special Topics in Biology,"Four credit courses have an associated laboratory. Credits count toward major. If there is no duplication of topic, courses with this number may be repeated for credit."
106,BIO 299 SUPERVISED STUDY,Assigns problems for independent study incorporating previous instruction and supervised by the instructor.,BIOL 404,Special Topics in Biology,"Four credit courses have an associated laboratory. Credits count toward major. If there is no duplication of topic, courses with this number may be repeated for credit."
107,BUS 216 PROBABILITY AND STATISTICS FOR BUSINESS & ECON,Introduces methods of probability assessment and statistical inference. Includes data collection and presentation; descriptive statistics; basic probability concepts; discrete and continuous probability distributions; decision theory; sampling and estimation; and hypothesis testing. Emphasizes business and economic applications. Utilizes computer software as a tool for problem solving.,ECON 307,Principles and Methods of Statistics,"Prerequisite(s): ECON 101 , ECON 102 College Curriculum: ACTV, MATH A study of the principles and uses of descriptive statistics, probability distributions, sampling distributions, statistical inference, hypothesis testing and regression analysis. Cannot enroll in Econ 307 after taking or while taking Econ 308. Note: See section heading âStatisticsâ under âRequirements for the Baccalaureate Degree.â"
108,"BUS 221 BUSINESS STATISTICS I TAKEN WITH
BUS 222 BUSINESS STATISTICS II","Focuses on statistical methodology in the collection, organization, presentation, and analysis of data; concentrates on measures of central tendency, dispersion, probability concepts and distribution, sampling, statistical estimation, normal and T distribution and hypotheses for means and proportions.",BUAD 231,Statistics,Basic concepts of statistical analysis within a business environment. Attention is given to solution methods via use of the computer.
109,BUS 224 STATISTICAL ANALYSIS FOR BUSINESS,Introduces methods of probability assessment and statistical inference. Includes data presentation; descriptive statistics; basic probability concepts; discrete and continuous probability distributions; decision theory; estimation and sampling distributions; Central Limit Theorem; simple linear regression and hypothesis testing for a single sample or population. Emphasizes business and economic applications. Utilizes computer software as a tool for problem-solving.,BUAD 231,Statistics,Basic concepts of statistical analysis within a business environment. Attention is given to solution methods via use of the computer.
110,BUS 240 INTRODUCTION TO BUSINESS LAW,"Provides an introduction to the American legal system and the use of law to achieve economic and social goals. Highlights ethical principles and legal reasoning underlying the rights and obligations of business relationships and their effect on business decision-making. Emphasizes fundamental principles of government regulation and the court system, constitutional law, torts, criminal law, contracts, agency, employment, and property law.",BUAD 343,Legal Environment of Business,"An introduction to the law and the legal process. Substantive areas of law covered include: contracts, sales of goods and product liability; business torts and environmental law; bankruptcy and international law."
111,"BUS 241 BUSINESS LAW I TAKEN WITH
BUS 242 BUSINESS LAW II","Develops a basic understanding of the US business legal environment. Introduces property and contract law, agency and partnership liability, and government regulatory law. Students will be able to apply these legal principles to landlord/tenant disputes, consumer rights issues, employment relationships, and other business transactions.",BUAD 343,Legal Environment of Business,"An introduction to the law and the legal process. Substantive areas of law covered include: contracts, sales of goods and product liability; business torts and environmental law; bankruptcy and international law."
