,VCCS Course,VCCS Description,W&M Course Code,W&M Course Title,W&M Description
596,NAS 172 HUMAN ANATOMY & PHYSIOLOGY II,Description not found,KINE 303,Human Anatomy,Prerequisite(s): KINE 200 or BIOL 204 or BIOL 203 . College Curriculum: NQR Gross and histological study of the human organism with particular emphasis on the neuro-muscular systems as related to human movement.
597,NAS 215 MAN IN HIS ENVIRONMENT,Description not found,,,
598,PHI 95 TOPICS IN,Provides an opportunity to explore topical areas of interest to or needed by students.,,,
599,PHI 99 SUPERVISED STUDY,Assigns problems for independent study incorporating previous instruction and supervised by the instructor.,,,
600,PHI 100 INTRODUCTION TO PHILOSOPHY,"Presents an introduction to philosophical problems and perspectives with emphasis on the systematic questioning of basic assumptions about meaning, knowledge, reality, and values. The assignments in the course require college-level reading fluency and coherent communication through written reports. This is a Passport and UCGS transfer course.",PHIL 201,Introduction to Philosophy,"ALV CSI An introduction to the problems, methods and scope of philosophical inquiry through readings from historical and contemporary sources. Typically, the readings include at least one dialogue of Plato, the Meditations of Descartes, and usually selections from other philosophers. Note: NOTE: Seniors may take this course only with the permission of the instructor. Students may not receive credit for both 150 and 201."
601,PHI 101 INTROUDCTION TO PHILOSOPHY I,Description not found,PHIL 201,Introduction to Philosophy,"ALV CSI An introduction to the problems, methods and scope of philosophical inquiry through readings from historical and contemporary sources. Typically, the readings include at least one dialogue of Plato, the Meditations of Descartes, and usually selections from other philosophers. Note: NOTE: Seniors may take this course only with the permission of the instructor. Students may not receive credit for both 150 and 201."
602,PHI 102 INTRODUCTION TO PHILOSOPHY II,Description not found,PHIL 201,Introduction to Philosophy,"ALV CSI An introduction to the problems, methods and scope of philosophical inquiry through readings from historical and contemporary sources. Typically, the readings include at least one dialogue of Plato, the Meditations of Descartes, and usually selections from other philosophers. Note: NOTE: Seniors may take this course only with the permission of the instructor. Students may not receive credit for both 150 and 201."
603,PHI 111 LOGIC I,"Introduces inductive and deductive reasoning, with an emphasis on common errors and fallacies. The assignments in the course require college-level reading fluency and coherent communication through written reports. This is a Passport and UCGS transfer course.",PHIL 210,Critical Thinking,"ALV NQR A survey of formal and informal logical techniques with emphasis on their practical applications and historical significance. Among the techniques studied are syllogistic logic, informal fallacies and induction."
604,PHI 112 LOGIC II,Description not found,PHIL 301,Symbolic Logic,NQR An introduction to the principles of valid reasoning. Special emphasis will be given to modern symbolic techniques and some of their applications.
605,PHI 115 PRACTICAL REASONING,Description not found,PHIL 210,Critical Thinking,"ALV NQR A survey of formal and informal logical techniques with emphasis on their practical applications and historical significance. Among the techniques studied are syllogistic logic, informal fallacies and induction."
